"Code
Word","Size
(AWGor
kcmil)","Strand-
ing
(Al/Stl)",Diameter(ins.),Unnamed: 4,Unnamed: 5,Unnamed: 6,WeightPer1000ft.(lbs.),Unnamed: 8,Unnamed: 9,Content(%),Unnamed: 11,"Rated
Strength
(lbs.)","Resistance
OHMS/1000ft.",Unnamed: 14,"Allowable
Ampacity+
(Amps)"
,,,IndividualWires,,"Steel
Core","Complete
Cable",Al,Stl,Total,Al,Stl,,"DC@
20°C","AC@
75°C",
,,,Al,Stl,,,,,,,,,,,
Peachbell,6,7/0,0.0612,,,0.184,,,25,,,563.0,0.658,0.805,103.0
Rose,4,7/0,0.0772,,,0.232,,,39,,,881.0,0.414,0.506,138.0
Iris,2,7/0,0.0974,,,0.292,,,62,,,1350.0,0.26,0.318,185.0
Pansy,1,7/0,0.1093,,,0.328,,,78,,,1640.0,0.207,0.252,214.0
Poppy,1/0,7/0,0.1228,,,0.368,,,99,,,1990.0,0.164,0.2,247.0
Aster,2/0,7/0,0.1379,,,0.414,,,125,,,2510.0,0.13,0.159,286.0
Phlox,3/0,7/0,0.1548,,,0.464,,,157,,,3040.0,0.103,0.126,331.0
Oxlip,4/0,7/0,0.1739,,,0.522,,,198,,,3830.0,0.0817,0.0999,383.0
Sneezewort,250,7/0,0.189,,,0.567,,,234,,,4520.0,0.0691,0.0846,425.0
Valerian,250,19/0,0.1147,,,0.574,,,234,,,4660.0,0.0691,0.0846,426.0
Daisy,266.8,7/0,0.1952,,,0.586,,,250,,,4830.0,0.0648,0.0793,443.0
Laurel,266.8,19/0,0.1185,,,0.592,,,250,,,4970.0,0.0648,0.0793,444.0
Peony,300,19/0,0.1257,,,0.628,,,281,,,5480.0,0.0576,0.0706,478.0
Tulip,336.4,19/0,0.1331,,,0.665,,,315,,,6150.0,0.0514,0.063,513.0
Daffodil,350,19/0,0.1357,,,0.679,,,328,,,6390.0,0.0494,0.0605,526.0
Canna,397.5,19/0,0.1446,,,0.723,,,373,,,7110.0,0.0435,0.0534,570.0
Goldentuft,450,19/0,0.1539,,,0.769,,,422,,,7890.0,0.0384,0.0472,616.0
Cosmos,477,19/0,0.1584,,,0.792,,,447,,,8360.0,0.0362,0.0445,639.0
Syringa,477.0,37/0,0.1135,,,0.795,,,447,,,8690.0,0.0362,0.0445,639.0
Zinnia,500,19/0,0.1622,,,0.811,,,469,,,8760.0,0.0346,0.0425,658.0
Hyacinth,500,37/0,0.1162,,,0.814,,,469,,,9110.0,0.0346,0.0425,658.0
Dahlia,556.5,19/0,0.1711,,,0.856,,,522,,,9750.0,0.0311,0.0382,703.0
Mistletoe,556.5,37/0,0.1226,,,0.858,,,522,,,9940.0,0.0311,0.0382,704.0
Meadowsweet,600,37/0,0.1273,,,0.891,,,562,,,10700.0,0.0228,0.0355,738.0
Orchid,636.0,37/0,0.1311,,,0.918,,,596,,,11400.0,0.0272,0.0335,765.0
Heuchera,650,37/0,0.1325,,,0.928,,,609,,,11600.0,0.0266,0.0328,775.0
Verbena,700,37/0,0.1375,,,0.963,,,656,,,12500.0,0.0247,0.0305,812.0
Flag,700,61/0,0.1071,,,0.964,,,656,,,12900.0,0.0247,0.0305,812.0
Violet,715.5,37/0,0.1391,,,0.973,,,671,,,12800.0,0.0242,0.0299,823.0
Nasturtium,715.5,61/0,0.1083,,,0.975,,,671,,,13100.0,0.0242,0.0299,823.0
Petunia,750.0,37/0,0.1424,,,0.997,,,703,,,13100.0,0.023,0.0286,847.0
Cattail,750,61/0,0.1109,,,0.998,,,703,,,13500.0,0.023,0.0286,847.0
Arbutus,795,37/0,0.1466,,,1.026,,,745,,,13900.0,0.0217,0.027,878.0
Lilac,795.0,61/0,0.1142,,,1.027,,,745,,,14300.0,0.0217,0.027,879.0
Cockscomb,900,37/0,0.156,,,1.092,,,844,,,15400.0,0.0192,0.0239,948.0
Snapdragon,900,61/0,0.1215,,,1.093,,,844,,,15900.0,0.0192,0.0239,948.0
Magnolia,954.0,37/0,0.1606,,,1.124,,,894,,,16400.0,0.0181,0.0226,982.0
Goldenrod,954.0,61/0,0.1251,,,1.125,,,894,,,16900.0,0.0181,0.0226,983.0
Hawkweed,1000,37/0,0.1644,,,1.151,,,937,,,17200.0,0.0173,0.0216,1010.0
Camellia,1000,61/0,0.128,,,1.152,,,937,,,17700.0,0.01728,0.0216,1011.0
Bluebell,1033.5,37/0,0.1671,,,1.17,,,969,,,17700.0,0.0167,0.021,1031.0
Larkspur,1033.5,61/0,0.1302,,,1.171,,,969,,,18300.0,0.0167,0.021,1032.0
Marigold,1113.0,61/0,0.1351,,,1.216,,,1043,,,19700.0,0.0155,0.0195,1079.0
Hawthorn,1192.5,61/0,0.1398,,,1.258,,,1118,,,21100.0,0.0145,0.0183,1124.0
Narcissus,1272.0,61/0,0.1444,,,1.3,,,1192,,,22000.0,0.0136,0.0173,1169.0
Columbine,1351.5,61/0,0.1488,,,1.34,,,1267,,,23400.0,0.0128,0.0163,1212.0
Carnation,1431,61/0,0.1532,,,1.378,,,1341,,,24300.0,0.0121,0.0155,1253.0
Gladiolus,1510.5,61/0,0.1574,,,1.416,,,1416,,,25600.0,0.0144,0.0147,1294.0
Coreopsis,1590.0,61/0,0.1614,,,1.453,,,1490,,,27000.0,0.0109,0.0141,1333.0
Jessamine,1750.0,61/0,0.1694,,,1.524,,,1640,,,29700.0,0.00988,0.0129,1408.0
Cowslip,2000.0,91/0,0.1482,,,1.631,,,1875,,,34200.0,0.00864,0.0115,1518.0
Sagebrush,2250,91/0,0.1572,,,1.73,,,2130,,,37500.0,0.00776,0.0105,1612.0
Lupine,2500.0,91/0,0.1657,,,1.823,,,2366,,,41900.0,0.00698,0.0097,1706.0
Bitterroot,2750,91/0,0.1738,,,1.912,,,2603,,,46100.0,0.00635,0.009,1793.0
Trillium,3000,127/0,0.1537,,,1.998,,,2839,,,50300.0,0.00582,0.0083,1874.0
Bluebonnet,3500,127/0,0.166,,,2.158,,,3345,,,58700.0,0.00499,0.0076,2024.0
