ratedVoltage (kV),ratedImpulseWithstandVoltage (kV),Short Duration withstand voltage (kV),breakingCapacity ,ratedCurrent ,1 phase/ 3 phase
14.4,110,15.5,8,630,3
14.4,110,15.5,8,800,3
14.4,110,15.5,8,1000,3
14.4,110,15.5,8,1200,3
14.4,110,15.5,10,630,3
14.4,110,15.5,10,800,3
14.4,110,15.5,10,1000,3
14.4,110,15.5,10,1200,3
14.4,110,15.5,12.5,630,3
14.4,110,15.5,12.5,800,3
14.4,110,15.5,12.5,1000,3
14.4,110,15.5,12.5,1200,3
14.4,110,15.5,16,630,3
14.4,110,15.5,16,800,3
14.4,110,15.5,16,1000,3
14.4,110,15.5,16,1200,3
14.4,125,15.5,8,630,3
14.4,125,15.5,8,800,3
14.4,125,15.5,8,1000,3
14.4,125,15.5,8,1200,3
14.4,125,15.5,10,630,3
14.4,125,15.5,10,800,3
14.4,125,15.5,10,1000,3
14.4,125,15.5,10,1200,3
14.4,125,15.5,12.5,630,3
14.4,125,15.5,12.5,800,3
14.4,125,15.5,12.5,1000,3
14.4,125,15.5,12.5,1200,3
14.4,125,15.5,16,630,3
14.4,125,15.5,16,800,3
14.4,125,15.5,16,1000,3
14.4,125,15.5,16,1200,3
24.9,125,27,10,630,3
24.9,125,27,10,800,3
24.9,125,27,10,1000,3
24.9,125,27,10,1200,3
24.9,125,27,12.5,630,3
24.9,125,27,12.5,800,3
24.9,125,27,12.5,1000,3
24.9,125,27,12.5,1200,3
24.9,125,27,16,630,3
24.9,125,27,16,800,3
24.9,125,27,16,1000,3
24.9,125,27,16,1200,3
24.9,150,27,10,630,3
24.9,150,27,10,800,3
24.9,150,27,10,1000,3
24.9,150,27,10,1200,3
24.9,150,27,12.5,630,3
24.9,150,27,12.5,800,3
24.9,150,27,12.5,1000,3
24.9,150,27,12.5,1200,3
24.9,150,27,16,630,3
24.9,150,27,16,800,3
24.9,150,27,16,1000,3
24.9,150,27,16,1200,3
34.5,150,38,10,630,3
34.5,150,38,10,800,3
34.5,150,38,10,1200,3
34.5,150,38,12.5,630,3
34.5,150,38,12.5,800,3
34.5,150,38,12.5,1200,3
34.5,150,38,16,630,3
34.5,150,38,16,800,3
34.5,150,38,16,1200,3
34.5,170,38,10,630,3
34.5,170,38,10,800,3
34.5,170,38,10,1200,3
34.5,170,38,12.5,630,3
34.5,170,38,12.5,800,3
34.5,170,38,12.5,1200,3
34.5,170,38,16,630,3
34.5,170,38,16,800,3
34.5,170,38,16,1200,3
