"Code
Word","Size
(AWGor
kcmil)","Strand-
ing
(Al/Stl)",Diameter(ins.),Unnamed: 4,Unnamed: 5,Unnamed: 6,WeightPer1000ft.(lbs.),Unnamed: 8,Unnamed: 9,Content(%),Unnamed: 11,"Rated
Strength
(lbs.)","Resistance
OHMS/1000ft.",Unnamed: 14,"Allowable
Ampacity+
(Amps)"
,,,IndividualWires,,"Steel
Core","Complete
Cable",Al,Stl,Total,Al,Stl,,"DC@
20°C","AC@
75°C",
,,,Al,Stl,,,,,,,,,,,
Partridge,266.8,14/7,,0.2364,,0.595,250,116,366,,,11200,0.3356,0.4103,449
Linnet,336.4,16/7,,0.2655,,0.667,316,146,462,,,14000,0.2662,0.3255,519
Oriole,336.4,16/7,,0.3177,,0.693,317,209,526,,,17100,0.2650,0.3239,525
Merlin,336.4,14/1,,0.1367,,0.630,315,50,365,,,8560,0.2693,0.3298,508
Flicker,477,18/7,,0.2820,,0.776,448,165,613,,,17200,0.1884,0.2308,641
Hawk,477,18/7,,0.3159,,0.789,449,206,655,,,19400,0.1877,0.2299,645
Hen,477,20/7,,0.3783,,0.820,450,296,746,,,23600,0.1869,0.2287,653
Parakeet,556.5,18/7,,0.3045,,0.835,523,192,715,,,20000,0.1615,0.1980,707
Dove,556.5,20/7,,0.3414,,0.852,524,241,765,,,22600,0.1609,0.1973,711
Swift,636,27/1,,0.1329,,0.850,599,47,646,,,13500,0.1435,0.1821,740
Rook,636,20/7,,0.3255,,0.890,597,219,816,,,22900,0.1413,0.1735,767
Grosbeak,636,20/7,,0.3648,,0.908,599,275,874,,,25400,0.1408,0.1728,772
Scoter,636,22/7,,0.4368,,0.942,600,395,995,,,30400,0.1398,0.1714,783
Tern,795,17/7,,0.2658,,0.960,746,146,892,,,21000,0.1138,0.1405,869
Puffin,795,18/7,,0.3324,,0.980,747,228,975,,,25900,0.1133,0.1397,876
Condor,795,20/7,,0.3639,,0.993,747,274,1021,,,28200,0.1130,0.1392,880
Drake,795,20/7,,0.4080,,1.010,748,344,1092,,,31800,0.1126,0.1386,886
Phoenix,954,30/7,,0.2511,,1.044,898,131,1029,,,23700,0.0954,0.1217,956
Rail,954,32/7,,0.2913,,1.061,900,175,1075,,,25900,0.0953,0.1214,960
Cardinal,954,20/7,,0.3987,,1.084,897,329,1226,,,33500,0.0942,0.1164,985
Snowbird,1033.5,30/7,,0.2613,,1.089,974,141,1115,,,25700,0.0880,0.1126,1004
Ortolan,1033.5,33/7,,0.3030,,1.102,975,190,1165,,,28100,0.0879,0.1123,1008
Curlew,1033.5,22/7,,0.4149,,1.129,971,356,1327,,,36300,0.0869,0.1077,1035
Avocet,1113,30/7,,0.2712,,1.129,1049,152,1201,,,27500,0.0818,0.1048,1050
Bluejay,1113,33/7,,0.3147,,1.143,1049,205,1254,,,30300,0.0816,0.1045,1055
