"Code
Word","Size
(AWGor
kcmil)","Strand-
ing
(Al/Stl)",Diameter(ins.),Unnamed: 4,Unnamed: 5,Unnamed: 6,WeightPer1000ft.(lbs.),Unnamed: 8,Unnamed: 9,Content(%),Unnamed: 11,"Rated
Strength
(lbs.)","Resistance
OHMS/1000ft.",Unnamed: 14,"Allowable
Ampacity+
(Amps)"
,,,IndividualWires,,"Steel
Core","Complete
Cable",Al,Stl,Total,Al,Stl,,"DC@
20°C","AC@
75°C",
,,,Al,Stl,,,,,,,,,,,
Partridge,266.8,14/7,,0.2364,,0.595,250.5,115.6,366.1,,,8880,0.0618,0.0759,795
Linnet,336.4,16/7,,0.2655,,0.667,316.1,145.8,461.9,,,11200,0.0490,0.0602,921
Oriole,336.4,16/7,,0.3177,,0.692,318.2,209.2,527.4,,,14800,0.0486,0.0597,940
Flicker,477.0,18/7,,0.2820,,0.776,447.8,164.5,612.3,,,13000,0.0347,0.0427,1151
Hawk,477.0,18/7,,0.3162,,0.790,448.7,206.4,655.1,,,15600,0.0346,0.0426,1159
Hen,477.0,20/7,,0.3783,,0.820,451.1,296.6,747.8,,,21000,0.0343,0.0421,1181
Parakeet,556.5,18/7,,0.3045,,0.835,522.4,191.8,714.2,,,15200,0.0297,0.0366,1271
Dove,556.5,20/7,,0.3414,,0.850,523.4,241.1,764.5,,,18200,0.0296,0.0365,1282
Rook,636.0,20/7,,0.3255,,0.893,597.0,219.2,816.2,,,17300,0.0260,0.0321,1386
Grosbeak,636.0,20/7,,0.3648,,0.909,601.5,275.8,877.3,,,20700,0.0259,0.0320,1398
Scoter,636.0,22/7,,0.4368,,0.942,600.5,394.7,995.2,,,27400,0.0257,0.0317,1427
Tern,795.0,17/7,,0.2658,,0.960,745.2,146.1,891.3,,,14200,0.0209,0.0260,1580
Puffin,795.0,18/7,,0.3168,,0.980,745.9,228.5,974.4,,,17700,0.0209,0.0259,1595
Condor,795.0,20/7,,0.3639,,0.993,746.3,273.9,1020.0,,,21700,0.0208,0.0258,1604
Drake,795.0,20/7,,0.4080,,1.010,747.0,344.3,1091.3,,,25900,0.0207,0.0257,1616
Canary,900.0,20/7,,0.3873,,1.055,844.8,310.9,1155.7,,,24600,0.0184,0.0228,1739
Phoenix,954.0,30/7,,0.2511,,1.044,897.7,130.4,1028.0,,,14200,0.0176,0.0225,1740
Rail,954.0,32/7,,0.2913,,1.061,898.6,175.5,1074.1,,,16700,0.0175,0.0224,1750
Cardinal,954.0,20/7,,0.3987,,1.080,895.5,328.8,1224.3,,,26000,0.0173,0.0216,1806
Snowbird,1033.5,30/7,,0.2613,,1.089,972.5,141.2,1114.0,,,15400,0.0162,0.0208,1834
Ortolan,1033.5,32/7,,0.3030,,1.102,972.5,189.9,1162.0,,,18100,0.0162,0.0207,1843
Curlew,1033.5,22/7,,0.4149,,1.132,970.1,356.1,1326.2,,,28200,0.0160,0.0199,1903
Avocet,1113.0,30/7,,0.2712,,1.129,1047.0,152.1,1199.0,,,16300,0.0150,0.0194,1925
Bluejay,1113.0,33/7,,0.3147,,1.143,1048.0,204.8,1253.0,,,19500,0.0150,0.0193,1935
