ratedVoltage (kV),ratedImpulseWithstandVoltage (kV),Short Duration withstand voltage (kV),breakingCapacity ,ratedCurrent ,1 phase/ 3 phase
15,110,45,12.5,630,3
15,125,45,12.5,630,3
27,125,50,12.5,630,3
27,150,50,12.5,630,3
38,170,60,12.5,630,3
15,110,45,12.5,800,3
15,125,45,12.5,800,3
27,125,50,12.5,800,3
27,150,50,12.5,800,3
38,170,60,12.5,800,3
15,110,45,16,630,3
15,125,45,16,630,3
27,125,50,16,630,3
27,150,50,16,630,3
38,170,60,16,630,3
15,110,45,16,800,3
15,125,45,16,800,3
27,125,50,16,800,3
27,150,50,16,800,3
38,170,60,16,800,3
