ratedVoltage (kV),ratedImpulseWithstandVoltage (kV),Short Duration withstand voltage (kV),breakingCapacity ,ratedCurrent ,1 phase/ 3 phase
12,75,28,12.5,200,3
12,75,28,12.5,400,3
12,75,28,12.5,630,3
12,75,28,12.5,800,3
12,75,28,16,630,3
12,75,28,16,800,3
12,75,28,12.5,400,1
12,75,28,12.5,630,1
12,75,28,12.5,800,1
12,75,28,16,630,1
12,75,28,16,800,1
15.5,110,50,12.5,200,3
15.5,110,50,12.5,400,3
15.5,110,50,12.5,630,3
15.5,110,50,12.5,800,3
15.5,110,50,16,630,3
15.5,110,50,16,800,3
15.5,110,50,12.5,400,1
15.5,110,50,12.5,630,1
15.5,110,50,12.5,800,1
15.5,110,50,16,630,1
15.5,110,50,16,800,1
24,125,50,12.5,200,3
24,125,50,12.5,400,3
24,125,50,12.5,630,3
24,125,50,12.5,800,3
24,125,50,16,630,3
24,125,50,16,800,3
24,125,50,12.5,400,1
24,125,50,12.5,630,1
24,125,50,12.5,800,1
24,125,50,16,630,1
24,125,50,16,800,1
27,125,28,12.5,200,3
27,125,60,12.5,400,3
27,125,60,12.5,630,3
27,150,70,12.5,800,3
27,150,70,16,630,3
27,150,70,16,800,3
27,125,60,12.5,400,1
27,125,60,12.5,630,1
27,125,60,12.5,800,1
27,125,60,16,630,1
27,125,60,16,800,1
38,170,70,12.5,630,3
38,170,70,12.5,800,3
38,170,70,16,630,3
38,170,70,16,800,3
