"Code
Word","Size
(AWGor
kcmil)","Strand-
ing
(Al/Stl)",Diameter(ins.),,,,WeightPer1000ft.(lbs.),,,Content(%),,"Rated
Strength
(lbs.)","Resistance
OHMS/1000ft.",,"Allowable
Ampacity+
(Amps)"
,,,IndividualWires,,"Steel
Core","Complete
Cable",Al,Stl,Total,Al,Stl,,"DC@
20°C","AC@
75°C",
,,,Al,Stl,,,,,,,,,,,
Turkey,6,6/1,0.0661,0.0661,0.0661,0.198,24,12,36,67.88,32.12,1190,0.641,0.806,105
Swan,4,6/1,0.0834,0.0834,0.0834,0.25,39,18,57,67.87,32.12,1860,0.403,0.515,140
Swanate,4,7/1,0.0772,0.103,0.103,0.257,39,28,67,58.1,41.9,2360,0.399,0.519,140
Sparrow,2,6/1,0.1052,0.1052,0.1052,0.316,62,29,91,67.9,32.1,2850,0.254,0.332,184
Sparate,2,7/1,0.0974,0.1298,0.1298,0.325,62,45,107,58.12,41.88,3460,0.251,0.338,184
Robin,1,6/1,0.1181,0.1181,0.1181,0.354,78,37,115,67.88,32.12,3550,0.201,0.268,212
Raven,1,6/1,0.1327,0.1327,0.1327,0.398,99,47,145,67.89,32.11,4380,0.159,0.217,242
Quail,2,6/1,0.1489,0.1489,0.1489,0.447,124,59,183,67.88,32.12,5310,0.126,0.176,276
Pigeon,3,6/1,0.1672,0.1672,0.1672,0.502,156,74,230,67.87,32.13,6620,0.1,0.144,315
Penguin,4,6/1,0.1878,0.1878,0.1878,0.563,197,93,291,67.88,32.12,8350,0.0795,0.119,357
Waxwing,266.8,18/1,0.1217,0.1217,0.1217,0.609,250,39,289,86.43,13.57,6880,0.0643,0.0787,449
Partridge,266.8,26/7,0.1013,0.0788,0.2363,0.642,251,115,367,68.51,31.49,11300,0.0637,0.0779,475
Ostrich,300,26/7,0.1074,0.0835,0.2506,0.68,283,130,412,68.51,31.49,12700,0.0567,0.0693,492
Merlin,336.4,18/1,0.1367,0.1367,0.1367,0.684,315,49,365,86.43,13.57,8680,0.051,0.0625,519
Linnet,336.4,26/7,0.1137,0.0885,0.2654,0.72,317,146,462,68.51,31.49,14100,0.0505,0.0618,529
Oriole,336.4,30/7,0.1059,0.1059,0.3177,0.741,318,209,526,60.35,39.65,17300,0.0502,0.0613,535
Chickadee,397.5,18/1,0.1486,0.1486,0.1486,0.743,373,58,431,86.43,13.57,9940,0.0432,0.0529,576
Brant,397.5,24/7,0.1287,0.0858,0.2574,0.772,374,137,511,73.21,26.79,14600,0.043,0.0526,584
Ibis,397.5,26/7,0.1236,0.0962,0.2885,0.783,374,172,546,68.51,31.49,16300,0.0428,0.0523,587
Lark,397.5,30/7,0.1151,0.1151,0.3453,0.806,375,247,622,60.35,39.65,20300,0.0425,0.0519,594
Pelican,477,18/1,0.1628,0.1628,0.1628,0.814,447,70,517,86.44,13.56,11800,0.036,0.0442,646
Flicker,477,24/7,0.141,0.094,0.2819,0.846,449,164,614,73.21,26.79,17200,0.0358,0.0439,655
Hawk,477,26/7,0.1354,0.1053,0.316,0.858,449,207,656,68.51,31.49,19500,0.0356,0.0436,659
Hen,477,30/7,0.1261,0.1261,0.3783,0.883,450,296,746,60.35,39.65,23800,0.0354,0.0433,666
Osprey,556.5,18/1,0.1758,0.1758,0.1758,0.879,522,82,603,86.43,13.57,13700,0.0308,0.0379,711
Parakeet,556.5,24/7,0.1523,0.1015,0.3045,0.914,524,192,716,73.21,26.79,19800,0.0307,0.0376,721
Dove,556.5,26/7,0.1463,0.1138,0.3413,0.927,524,241,765,68.51,31.49,22600,0.0306,0.0375,726
Eagle,556.5,30/7,0.1362,0.1362,0.4086,0.953,525,345,871,60.35,39.65,27800,0.0303,0.0372,734
Peacock,605,24/7,0.1588,0.1059,0.3177,0.953,570,209,779,73.2,26.8,21600,0.0282,0.0346,760
Squab,605,26/7,0.1525,0.1186,0.3559,0.966,570,262,832,68.51,31.49,24300,0.0281,0.0345,765
"Wood
Duck",605,30/7,0.142,0.142,0.426,0.994,571,375,946,60.35,39.65,28900,0.0279,0.0342,774
Teal,605,30/19,0.142,0.0852,0.426,0.994,571,367,939,60.86,39.14,30000,0.0279,0.0342,773
Kingbird,636,18/1,0.188,0.188,0.188,0.94,596,94,690,86.43,13.57,15700,0.027,0.0332,773
Swift,636,36/1,0.1329,0.1329,0.1329,0.93,596,47,643,92.72,7.28,13690,0.0271,0.0334,769
Rook,636,24/7,0.1628,0.1085,0.3256,0.977,599,219,818,73.22,26.78,22600,0.0268,0.033,784
Grosbeak,636,26/7,0.1564,0.1216,0.3649,0.991,599,275,874,68.51,31.49,25200,0.0267,0.0328,789
Scoter,636,30/7,0.1456,0.1456,0.4368,1.019,600,395,995,60.35,39.65,30400,0.0256,0.0325,798
Egret,636,30/19,0.1456,0.0874,0.4368,1.019,600,386,987,60.85,39.15,31500,0.0266,0.0326,798
Flamingo,666.6,24/7,0.1667,0.1111,0.3333,1,628,230,858,73.21,26.79,23700,0.0256,0.0315,807
Gannet,666.6,26/7,0.1601,0.1245,0.3736,1.014,628,289,916,68.51,31.49,26400,0.0255,0.0313,812
Stilt,715.5,24/7,0.1727,0.1151,0.3453,1.036,674,247,920,73.21,26.79,25500,0.0239,0.0294,844
Starling,715.5,26/7,0.1659,0.129,0.3871,1.051,674,310,984,68.51,31.49,28400,0.0238,0.0292,849
Redwing,715.5,30/19,0.1544,0.0927,0.4633,1.081,676,435,1110,60.85,39.15,34600,0.0236,0.029,859
Coot,795,36/1,0.1486,0.1486,0.1486,1.04,745,58,804,92.72,7.28,16710,0.0217,0.0268,884
Drake,795,26/7,0.1749,0.136,0.408,1.107,749,344,1093,68.51,31.49,31500,0.0214,0.0263,907
Tern,795,45/7,0.1329,0.0886,0.2658,1.063,749,146,895,83.67,16.33,22100,0.0216,0.0269,887
Condor,795,54/7,0.1213,0.1213,0.364,1.092,749,274,1023,73.21,26.79,28200,0.0215,0.0272,889
Mallard,795,30/19,0.1628,0.0977,0.4884,1.14,751,483,1234,60.86,39.14,38400,0.0213,0.0261,918
Ruddy,900,45/7,0.1414,0.0943,0.2828,1.131,848,165,1013,83.67,16.33,24400,0.0191,0.0239,958
Canary,900,54/7,0.1291,0.1291,0.3873,1.162,848,310,1158,73.22,26.78,31900,0.019,0.0241,961
Rail,954,45/7,0.1456,0.0971,0.2912,1.165,899,175,1074,83.67,16.33,25900,0.018,0.0225,993
Cardinal,954,54/7,0.1329,0.1329,0.3987,1.196,899,329,1227,73.21,26.79,33800,0.0179,0.0228,996
